"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"zbeta2[48]",-0.37911245077,-0.372689,-0.354797739872582,10364.9,0.95,-0.582986,-0.197861,NA,NA,NA,NA,NA,NA,NA
"zbeta2[49]",-0.380947376041,-0.379254,-0.37701031859719,10165.5,0.95,-0.565618,-0.200848,NA,NA,NA,NA,NA,NA,NA
"zbeta2[50]",-0.423967946854,-0.423385,-0.42390826636151,15254.5,0.95,-0.608328,-0.238285,NA,NA,NA,NA,NA,NA,NA
"zbeta2[51]",-0.49901304135,-0.493623,-0.485595277961493,9141.9,0.95,-0.667368,-0.343638,NA,NA,NA,NA,NA,NA,NA
"zbeta2[52]",-0.3434945499275,-0.3436485,-0.354189561796354,18829.1,0.95,-0.561625,-0.135071,NA,NA,NA,NA,NA,NA,NA
"zbeta0mu",0.347188598088025,0.346085,0.334571404553978,16994.1,0.95,0.0858946,0.609635,NA,NA,NA,NA,NA,NA,NA
"zbeta1mu",0.151571567255,0.1509675,0.149364454615445,11833.9,0.95,0.0932172,0.212986,NA,NA,NA,NA,NA,NA,NA
"zbeta2mu",-0.3921641673,-0.3915405,-0.389371830131177,7363.3,0.95,-0.453245,-0.334478,NA,NA,NA,NA,NA,NA,NA
"sigma",3564.915669,3513.825,3452.9346688194,5280.7,0.95,2420.99,4752.54,NA,NA,NA,NA,NA,NA,NA
"nu",2.2225214226,2.0719,1.94272215133241,5158.3,0.95,1.25127,3.58758,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.2412900101,0.237832,0.233710364277518,5280.7,0.95,0.163864,0.321674,NA,NA,NA,NA,NA,NA,NA
"zbeta0sigma",0.9268182567,0.919001,0.904642285367067,19111.1,0.95,0.750945,1.13267,NA,NA,NA,NA,NA,NA,NA
"zbeta1sigma",0.1588968697,0.157506,0.153341276397692,9610.5,0.95,0.104836,0.217912,NA,NA,NA,NA,NA,NA,NA
"zbeta2sigma",0.149165505785,0.1477685,0.144547199798259,7259.2,0.95,0.0989599,0.201834,NA,NA,NA,NA,NA,NA,NA
